Rooms	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]

1		[0, 0, 0, 3, 3, 3, 5, 6, 5, 6, 6, 8, 6, 8]
2		[0, 0, 0, 3, 3, 3, 5, 6, 5, 6, 6, 8, 6, 8]
3		[0, 0, 0, 3, 3, 3, 5, 6, 5, 6, 6, 8, 6, 8]
4		[3, 3, 3, 0, 0, 0, 2, 3, 2, 3, 3, 5, 3, 5]
5		[3, 3, 3, 0, 0, 0, 2, 3, 2, 3, 3, 5, 3, 5]
6		[3, 3, 3, 0, 0, 0, 2, 3, 2, 3, 3, 5, 3, 5]
7		[5, 5, 5, 2, 2, 2, 0, 3, 0, 1, 1, 3, 1, 3]
8		[6, 6, 6, 3, 3, 3, 3, 0, 3, 4, 4, 6, 4, 4]
9		[5, 5, 5, 2, 2, 2, 0, 3, 0, 1, 1, 3, 1, 3]
10		[6, 6, 6, 3, 3, 3, 1, 4, 1, 0, 0, 2, 0, 2]
11		[6, 6, 6, 3, 3, 3, 1, 4, 1, 0, 0, 2, 0, 2]
12		[8, 8, 8, 5, 5, 5, 3, 6, 3, 2, 2, 0, 2, 4]
13		[6, 6, 6, 3, 3, 3, 1, 4, 1, 0, 0, 2, 0, 2]
14		[8, 8, 8, 5, 5, 5, 3, 4, 3, 2, 2, 4, 2, 0]
